country,var,code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
AT,I_CT,O-U,,,,,,,,,,,,,,,,,,,,,,,,,,399.2,400.9,471.1,511.2,541.9,509.4,469.8,504.1,540.2,544.9,615.3,619.3,702.5,682.3,584.3,710.3,658.5,837,647.5,649.6,698
AT,I_CT,O,,,,,,,,,,,,,,,,,,,,,,,,,,51,46.6,50,51.4,53.4,45.2,43.7,39.3,36.5,40.7,44.9,39.2,43.3,45.5,39.4,36,36.4,36.4,38.7,39.3,40.2
AT,I_CT,P,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,26.9,26.5,26.8,27.9,23.8,27,28.4,24.2,27.1,29.4,32.8,32,33.7,37.5,45.6,44.8,43.1,43.2,39.2,41.4
AT,I_CT,Q,,,,,,,,,,,,,,,,,,,,,,,,,,259,256.8,326,353.3,377.5,383.8,332.7,371.5,418,409.7,471.6,470.1,535.6,519.8,423.3,549.7,516,658.2,504.4,520.1,548.7
AT,I_CT,R-S,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,70.6,68.6,79.7,83.1,56.6,66.4,64.9,61.5,67.4,69.4,77.2,91.6,83.3,84.1,79,61.3,99.3,61.2,51,67.7
AT,I_CT,R,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,48.2,46.7,55.9,62.4,39.7,47.3,48.2,44.8,48.5,50.9,57,67.7,59.3,56.7,49.1,37.8,65.1,38.1,30.5,41.4
AT,I_CT,S,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,22.4,21.9,23.8,20.7,16.9,19.1,16.7,16.7,18.9,18.5,20.2,23.9,24,27.4,29.9,23.5,34.2,23.1,20.5,26.3
AT,I_CT,T,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,I_CT,U,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,I_Soft_DB,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,1442.5,1543.8,1726.9,2263,2699,3125.3,3600,3943.3,3859.6,3957.1,3806.8,4121.5,4182,4504.6,4624.3,4794.3,5826.7,5546.9,6403.1,6155.3,6221.4
AT,I_Soft_DB,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,1306.5,1399.2,1559.4,2060.8,2464.3,2860,3289.5,3603,3498.2,3585.1,3418.6,3765.8,3802.5,4024.6,4138.1,4266.1,5183,4981.8,5828.4,5602.1,5673.5
AT,I_Soft_DB,A,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.8,4.1,5.6,6.7,7.8,8.7,9.7,9.4,9.7,9.3,10.8,11.3,10,9.7,10,12.1,12.3,13.5,13,13.2
AT,I_Soft_DB,B,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.2,3.5,4.2,5,5.6,6.9,8,8.8,9,7.5,9.9,9.1,13.2,13.7,14.2,18,10.2,14.2,12.5,12.6
AT,I_Soft_DB,C,,,,,,,,,,,,,,,,,,,,,,,,,,334.2,355.9,392.3,493.3,567.1,613.1,726.3,799.5,790.5,806.3,667.1,767.2,677.2,754.5,812.1,857.6,1061.2,910.7,1203.5,1056,1069.6
AT,I_Soft_DB,10-12,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,18.4,19.2,23.8,25.1,24.7,31.9,38.6,43.4,44.6,42.8,35.7,35.3,48.3,49.3,50.5,71,99.6,93.4,90.4,91.5
AT,I_Soft_DB,13-15,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.2,12.7,15.8,16.9,17,18.3,18.7,16.9,17.3,14.3,21.4,16.4,17.3,18.4,19.3,23.3,19.9,24.7,22,22.2
